================================================================================
WLAN 逐次故障与断开取证分析明细报告 (最近 168 小时)
生成时间: 2026-09-10 07:08:40
免责声明: 以上仅为时间相关性与统计分布，不构成因果结论。
================================================================================
【网卡驱动基线】
DriverVersion: 3.4.2.1123 | DriverDate: 2024-11-15
Provider: MediaTek, Inc. | INF: oem67.inf
--------------------------------------------------------------------------------
【统计摘要】
Event 8003 (断开事件): 8 次
Event 11004 (正常安全会话拆除): 17 次 (标注：正常安全会话拆除，非故障)
Event 8002 (连接失败): 4 次
Event 11006 (安全握手超时): 4 次
--------------------------------------------------------------------------------
时间                  | ID    | 码(Dec)     | 码(Hex)     | RSSI   | 前置ID     | PeerBSSID        | SSID     | API与事件文本
--------------------------------------------------------------------------------
2026-09-08 23:34:26 | 11006 | 294917     | 0x00048005 | 该字段在本机事件中不可用 | 11010    | 00:4B:F3:**:**:** | 7****1   | 动态密钥交换未能在配置的时间范围内成功 [事件文本: 动态密钥交换未能在配置的时间范围内成功]
2026-09-08 23:34:26 | 8003  | 0          | 0x00000000 | 该字段在本机事件中不可用 | 11004    | N/A              | 7****1   | 操作成功。 [事件文本: 网络被驱动程序断开连接。]
2026-09-09 01:15:07 | 8003  | 0          | 0x00000000 | 该字段在本机事件中不可用 | 11004    | N/A              | 7****1   | 操作成功。 [事件文本: 网络被驱动程序断开连接。]
2026-09-09 01:17:38 | 11006 | 294917     | 0x00048005 | 该字段在本机事件中不可用 | 11010    | 00:4B:F3:**:**:** | 7****1   | 动态密钥交换未能在配置的时间范围内成功 [事件文本: 动态密钥交换未能在配置的时间范围内成功]
2026-09-09 01:17:39 | 8002  | 163851     | 0x0002800B | -55    | 11004    | N/A              | 7****1   | 特定的网络不可用。 [事件文本: 特定的网络不可用。]
2026-09-09 01:18:24 | 8003  | 0          | 0x00000000 | 该字段在本机事件中不可用 | 11004    | N/A              | 7****1   | 操作成功。 [事件文本: 网络被驱动程序断开连接。]
2026-09-09 13:52:47 | 11006 | 294917     | 0x00048005 | 该字段在本机事件中不可用 | 11010    | 00:4B:F3:**:**:** | 7****1   | 动态密钥交换未能在配置的时间范围内成功 [事件文本: 动态密钥交换未能在配置的时间范围内成功]
2026-09-09 13:52:47 | 8003  | 0          | 0x00000000 | 该字段在本机事件中不可用 | 11004    | N/A              | 7****1   | 操作成功。 [事件文本: 网络被驱动程序断开连接。]
2026-09-09 16:41:18 | 8003  | 0          | 0x00000000 | 该字段在本机事件中不可用 | 11004    | N/A              | 7****1   | 操作成功。 [事件文本: 网络被驱动程序断开连接。]
2026-09-10 01:26:56 | 8003  | 0          | 0x00000000 | 该字段在本机事件中不可用 | 11004    | N/A              | 7****1   | 操作成功。 [事件文本: 网络被驱动程序断开连接。]
2026-09-10 01:27:04 | 8002  | 163851     | 0x0002800B | 255    | 11000    | N/A              | 7****1   | 特定的网络不可用。 [事件文本: 特定的网络不可用。]
2026-09-10 01:27:32 | 8002  | 163851     | 0x0002800B | 255    | 11000    | N/A              | 7****1   | 特定的网络不可用。 [事件文本: 特定的网络不可用。]
2026-09-10 01:28:54 | 11006 | 294917     | 0x00048005 | 该字段在本机事件中不可用 | 11010    | 00:4B:F3:**:**:** | 7****1   | 动态密钥交换未能在配置的时间范围内成功 [事件文本: 动态密钥交换未能在配置的时间范围内成功]
2026-09-10 01:28:55 | 8002  | 163851     | 0x0002800B | -60    | 11004    | N/A              | 7****1   | 特定的网络不可用。 [事件文本: 特定的网络不可用。]
2026-09-10 03:11:52 | 8003  | 0          | 0x00000000 | 该字段在本机事件中不可用 | 11004    | N/A              | 7****1   | 操作成功。 [事件文本: 网络被驱动程序断开连接。]
2026-09-10 03:37:47 | 8003  | 0          | 0x00000000 | 该字段在本机事件中不可用 | 11004    | N/A              | 7****1   | 操作成功。 [事件文本: 网络被驱动程序断开连接。]
